Accession,Symbol,Description,Fold change,Functional Gene Grouping (I),Functional Gene Grouping (II)
NM_010425,Foxd3,Forkhead box D3,14.7938,ESC-specific genes,"Transcription factors maintaining ""stem-ness"""
NM_010258,Gata6,GATA binding protein 6,0.4636,ESC-specific genes,"Transcription factors maintaining ""stem-ness"""
NM_010262,Gbx2,Gastrulation brain homeobox 2,50.5090,ESC-specific genes,"Transcription factors maintaining ""stem-ness"""
NM_028016,Nanog,Nanog homeobox,272.7907,ESC-specific genes,"Transcription factors maintaining ""stem-ness"""
NM_030676,Nr5a2,"Nuclear receptor subfamily 5, group A, member 2",150.5208,ESC-specific genes,"Transcription factors maintaining ""stem-ness"""
NM_010264,Nr6a1,"Nuclear receptor subfamily 6, group A, member 1",14.4670,ESC-specific genes,"Transcription factors maintaining ""stem-ness"""
NM_013633,Pou5f1,"POU domain, class 5, transcription factor 1",2017.5435,ESC-specific genes,"Transcription factors maintaining ""stem-ness"""
NM_011443,Sox2,SRY-box containing gene 2,218.4054,ESC-specific genes,"Transcription factors maintaining ""stem-ness"""
NM_023755,Tcfcp2l1,Transcription factor CP2-like 1,228.8357,ESC-specific genes,"Transcription factors maintaining ""stem-ness"""
NM_009482,Utf1,Undifferentiated embryonic cell transcription factor 1,1194.5975,ESC-specific genes,"Transcription factors maintaining ""stem-ness"""
NM_009556,Zfp42,Zinc finger protein 42,1106.6193,ESC-specific genes,"Transcription factors maintaining ""stem-ness"""
NM_147778,Commd3,COMM domain containing 3,0.3192,ESC-specific genes,Signalling molecules required for pluripotency and self-Renewal 
NM_007759,Crabp2,Cellular retinoic acid binding protein II,0.3381,ESC-specific genes,Signalling molecules required for pluripotency and self-Renewal 
NM_007904,Ednrb,Endothelin receptor type B,0.1798,ESC-specific genes,Signalling molecules required for pluripotency and self-Renewal 
NM_010202,Fgf4,Fibroblast growth factor 4,346.5816,ESC-specific genes,Signalling molecules required for pluripotency and self-Renewal 
NM_010203,Fgf5,Fibroblast growth factor 5,0.7147,ESC-specific genes,Signalling molecules required for pluripotency and self-Renewal 
NM_008071,Gabrb3,"Gamma-aminobutyric acid (GABA) A receptor, subunit beta 3",2.8777,ESC-specific genes,Signalling molecules required for pluripotency and self-Renewal 
NM_010253,Gal,Galanin,5.0343,ESC-specific genes,Signalling molecules required for pluripotency and self-Renewal 
NM_010346,Grb7,Growth factor receptor bound protein 7,27.4283,ESC-specific genes,Signalling molecules required for pluripotency and self-Renewal 
NM_010407,Hck,Hemopoietic cell kinase,2.9869,ESC-specific genes,Signalling molecules required for pluripotency and self-Renewal 
