Species,Mass,Prosoma Width,Source Colony,Experimental Colony,Weeks since social disturbance,Mixed/Control,Individual ID,Boldness 1,Boldness 2,Boldness 3,Boldness 4,Boldness 5,Prey Stimulus Attack 1,Prey Stimulus Attack 2,Prey Stimulus Attack 3,Prey Stimulus Attack 4,Prey Stimulus Attack 5
S. mimosarum,0.1276,2.736,20,20_1,1,Mixed,1,225.97,590.53,600,600,600,1,0,0,0,0
S. mimosarum,0.1478,3.006,20,20_1,1,Mixed,2,60,85,101.66,405.32,13.21,0,0,0,0,0
S. mimosarum,0.1384,2.715,20,20_1,1,Mixed,3,600,400.34,600,354.62,600,0,0,0,0,1
S. mimosarum,0.1659,3.493,20,20_1,1,Mixed,4,468,101.24,176.59,39.1,600,0,0,0,1,0
S. mimosarum,0.1264,2.747,20,20_1,1,Mixed,5,600,171.28,313.37,600,184.62,0,0,1,0,0
S. mimosarum,0.0934,2.883,20,20_1_control,1,Control,6,547,424.84,542.36,180.03,545.64,1,0,1,1,1
S. mimosarum,0.1092,2.829,20,20_1_control,1,Control,7,87,55.25,97.12,13.33,44.64,1,0,1,0,0
S. mimosarum,0.1545,3.191,20,20_1_control,1,Control,8,338,592.16,452.131,566.18,497.61,1,1,1,0,0
S. mimosarum,0.107,2.975,20,20_1_control,1,Control,9,1.23,5.56,16.14,101.62,3.1,0,0,0,0,1
S. mimosarum,0.1368,3.303,20,20_1_control,1,Control,10,512.34,84.28,202.33,277.51,16.54,1,0,1,1,1
S. mimosarum,0.1738,3.612,20,20_1_control,1,Control,11,0,45.37,3.75,16.95,0.48,0,0,0,0,0
S. mimosarum,0.0641,2.498,20,20_2,2,Mixed,12,600,99.84,600,249.81,600,0,0,0,0,0
S. mimosarum,0.1344,3.088,20,20_2,2,Mixed,13,600,600,502,43.51,600,1,1,0,0,1
S. mimosarum,0.1395,3.15,20,20_2,2,Mixed,14,600,204.62,600,600,600,0,0,0,0,0
S. mimosarum,0.1365,2.924,20,20_2,2,Mixed,15,260.15,600,600,512.37,93,0,0,0,0,0
S. mimosarum,0.0984,2.63,20,20_2,2,Mixed,16,185.04,184.56,600,600,355,1,1,0,0,0
S. mimosarum,0.0694,2.405,20,20_2,2,Mixed,17,202.64,600,64.51,542.84,645.32,0,0,0,0,1
S. mimosarum,0.06,2.467,20,20_2_control,2,Control,18,600,600,600,600,600,0,0,0,0,0
S. mimosarum,0.0734,2.545,20,20_2_control,2,Control,19,112,585.69,246,77.4,600,1,1,1,0,0
S. mimosarum,0.0907,2.636,20,20_2_control,2,Control,20,57,18.91,30,62.36,101.32,0,0,0,0,1
S. mimosarum,0.1203,3.164,20,20_2_control,2,Control,21,600,600,600,600,600,1,1,0,0,0
S. mimosarum,0.0865,2.464,20,20_2_control,2,Control,22,600,600,512.1,500,600,0,0,0,0,0
S. mimosarum,0.0669,2.506,20,20_3,3,Mixed,23,541.97,264.97,600,425.87,411,0,0,0,0,0
S. mimosarum,0.066,2.483,20,20_3,3,Mixed,24,600,600,600,600,600,0,0,0,1,0
S. mimosarum,0.059,2.506,20,20_3,3,Mixed,25,600,600,600,600,164.62,1,1,1,0,1
S. mimosarum,0.0605,2.539,20,20_3,3,Mixed,26,184.75,212.64,93,368.77,205.61,1,0,0,0,0
S. mimosarum,0.0443,2.299,20,20_3,3,Mixed,27,159,494,527.97,475.86,600,0,0,0,0,0
S. mimosarum,0.0525,2.461,20,20_3,3,Mixed,28,600,495,600,600,600,0,0,0,0,0
S. mimosarum,0.0576,2.526,20,20_3_control,3,Control,29,372,178.1,356.91,404.89,375.94,1,1,0,0,0
S. mimosarum,0.0544,2.6,20,20_3_control,3,Control,30,600,600,600,508.36,600,0,0,0,0,0
S. mimosarum,0.0636,2.487,20,20_3_control,3,Control,31,600,600,600,600,600,1,1,0,0,0
S. mimosarum,0.0878,2.549,20,20_3_control,3,Control,32,4.12,16.52,22.6,101.66,15.61,1,1,1,1,1
S. mimosarum,0.074,2.802,20,20_3_control,3,Control,33,91.79,194.59,155.94,216.68,264.51,1,0,1,1,0
S. mimosarum,0.0713,2.636,20,20_4,4,Mixed,34,600,600,542.64,488.12,15.31,0,0,0,0,0
S. mimosarum,0.0933,2.456,20,20_4,4,Mixed,35,600,600,600,600,600,1,0,1,1,0
S. mimosarum,0.0852,2.582,20,20_4,4,Mixed,36,292.87,154.23,97.13,343.64,164.45,0,1,1,1,1
S. mimosarum,0.1053,2.742,20,20_4,4,Mixed,37,304.52,432.15,154,64.45,600,0,0,0,1,1
S. mimosarum,0.0477,2.272,20,20_4,4,Mixed,38,566.32,521.43,477.61,232.69,498.77,1,0,0,1,0
S. mimosarum,0.0629,2.349,20,20_4,4,Mixed,39,272.54,600,264.97,99.84,16.03,0,0,0,0,0
S. mimosarum,0.1358,2.906,20,20_4_control,4,Control,40,502.06,595.61,600,600,600,0,0,0,0,0
S. mimosarum,0.1006,2.721,20,20_4_control,4,Control,41,300.61,95.44,392.81,299.84,305.94,0,0,0,0,1
S. mimosarum,0.0563,2.61,20,20_4_control,4,Control,42,600,600,460.53,600,600,0,0,0,0,0
S. mimosarum,0.1011,2.817,20,20_4_control,4,Control,43,122.81,180.19,156.6,67.34,600,0,0,0,0,1
S. mimosarum,0.1026,2.716,20,20_4_control,4,Control,44,252.19,600,414.44,313.37,600,0,0,1,1,0
S. mimosarum,0.0993,2.715,20,20_4_control,4,Control,45,600,482.53,366.88,600,542.61,0,0,1,0,0
S. mimosarum,0.0902,2.628,21,21_1,1,Mixed,46,212.31,143.22,77.4,471.45,113,0,0,0,1,0
S. mimosarum,0.0765,2.511,21,21_1,1,Mixed,47,600,180,216.68,299.66,257,1,1,1,1,1
S. mimosarum,0.0915,3.011,21,21_1,1,Mixed,48,600,125.75,422.31,188.94,0.85,0,1,1,0,0
S. mimosarum,0.0676,2.391,21,21_1,1,Mixed,49,93,1.23,213.85,124.91,600,1,1,0,0,0
S. mimosarum,0.1083,2.698,21,21_1,1,Mixed,50,600,600,600,1.12,50.41,0,0,0,0,1
S. mimosarum,0.1011,3.149,21,21_1,1,Mixed,51,123.54,600,1.23,13.54,600,0,1,0,0,0
S. mimosarum,0.1086,3.352,21,21_1_control,1,Control,52,600,600,600,600,578.64,0,0,0,0,0
S. mimosarum,0.0585,2.234,21,21_1_control,1,Control,53,477.5,445.53,600,422.31,497.64,0,0,0,0,1
