Source.colony,Expt.colony,Indv.ID,Weeks.since,Trt,Obs,Pre.Mass,Mass.change,Percent.mass.change,Pre.boldness,Post.boldness,Post.within.var
N10-C3,N10-C3_4,M_4_21,4,Mixed,1,0.1207,-0.012,-0.09942005,600,349,15072.78968
N10-C3,N10-C3_4,M_4_21,4,Mixed,2,0.1207,-0.012,-0.09942005,600,327.22,15072.78968
N10-C3,N10-C3_4,M_4_21,4,Mixed,3,0.1207,-0.012,-0.09942005,107.37,600,15072.78968
N10-C3,N10-C3_4,M_4_21,4,Mixed,4,0.1207,-0.012,-0.09942005,349,408.28,15072.78968
N10-C3,N10-C3_4,M_4_21,4,Mixed,5,0.1207,-0.012,-0.09942005,327.22,288.32,15072.78968
KAL-B3,KAL-B3_4,M_4_17,4,Mixed,1,0.0592,-0.015,-0.253378378,600,492.23,3243.43717
KAL-B3,KAL-B3_4,M_4_17,4,Mixed,2,0.0592,-0.015,-0.253378378,600,452.7,3243.43717
KAL-B3,KAL-B3_4,M_4_17,4,Mixed,3,0.0592,-0.015,-0.253378378,259.94,499.45,3243.43717
KAL-B3,KAL-B3_4,M_4_17,4,Mixed,4,0.0592,-0.015,-0.253378378,600,594.72,3243.43717
KAL-B3,KAL-B3_4,M_4_17,4,Mixed,5,0.0592,-0.015,-0.253378378,452.7,458.71,3243.43717
UPP-A7,UPP-A7_4,M_4_32,4,Mixed,1,0.043,-0.01,-0.23255814,110.53,495.56,2213.10252
UPP-A7,UPP-A7_4,M_4_32,4,Mixed,2,0.043,-0.01,-0.23255814,600,577.45,2213.10252
UPP-A7,UPP-A7_4,M_4_32,4,Mixed,3,0.043,-0.01,-0.23255814,600,585.56,2213.10252
UPP-A7,UPP-A7_4,M_4_32,4,Mixed,4,0.043,-0.01,-0.23255814,600,497.56,2213.10252
UPP-A7,UPP-A7_4,M_4_32,4,Mixed,5,0.043,-0.01,-0.23255814,600,583.78,2213.10252
KAL-1,KAL-1_4,M_4_5,4,Mixed,1,0.0624,-0.014,-0.224358974,600,211.35,42678.88677
KAL-1,KAL-1_4,M_4_5,4,Mixed,2,0.0624,-0.014,-0.224358974,206.28,600,42678.88677
KAL-1,KAL-1_4,M_4_5,4,Mixed,3,0.0624,-0.014,-0.224358974,199.38,600,42678.88677
KAL-1,KAL-1_4,M_4_5,4,Mixed,4,0.0624,-0.014,-0.224358974,211.35,180.06,42678.88677
KAL-1,KAL-1_4,M_4_5,4,Mixed,5,0.0624,-0.014,-0.224358974,600,305.85,42678.88677
UPP-A7,UPP-A7_1,M_1_31,1,Mixed,1,0.0504,-0.01,-0.198412698,600,155.26,36761.00528
UPP-A7,UPP-A7_1,M_1_31,1,Mixed,2,0.0504,-0.01,-0.198412698,403.25,600,36761.00528
UPP-A7,UPP-A7_1,M_1_31,1,Mixed,3,0.0504,-0.01,-0.198412698,317.35,600,36761.00528
UPP-A7,UPP-A7_1,M_1_31,1,Mixed,4,0.0504,-0.01,-0.198412698,351.64,204.6,36761.00528
UPP-A7,UPP-A7_1,M_1_31,1,Mixed,5,0.0504,-0.01,-0.198412698,600,95.35,36761.00528
UPP-A10,UPP-A10_3,M_3_29,3,Mixed,1,0.0993,-0.019,-0.191339376,600,544.23,3777.74192
UPP-A10,UPP-A10_3,M_3_29,3,Mixed,2,0.0993,-0.019,-0.191339376,600,575.82,3777.74192
UPP-A10,UPP-A10_3,M_3_29,3,Mixed,3,0.0993,-0.019,-0.191339376,600,520.89,3777.74192
UPP-A10,UPP-A10_3,M_3_29,3,Mixed,4,0.0993,-0.019,-0.191339376,600,469.81,3777.74192
UPP-A10,UPP-A10_3,M_3_29,3,Mixed,5,0.0993,-0.019,-0.191339376,600,420.89,3777.74192
KAL-B3,KAL-B3_3,M_3_17,3,Mixed,1,0.0637,-0.012,-0.188383046,600,600,0
KAL-B3,KAL-B3_3,M_3_17,3,Mixed,2,0.0637,-0.012,-0.188383046,600,600,0
KAL-B3,KAL-B3_3,M_3_17,3,Mixed,3,0.0637,-0.012,-0.188383046,600,600,0
KAL-B3,KAL-B3_3,M_3_17,3,Mixed,4,0.0637,-0.012,-0.188383046,600,600,0
KAL-B3,KAL-B3_3,M_3_17,3,Mixed,5,0.0637,-0.012,-0.188383046,600,600,0
UPP-A7,UPP-A7_3_control,C_119,3,Control,1,0.0587,-0.01,-0.170357751,600,600,17426.0571
UPP-A7,UPP-A7_3_control,C_119,3,Control,2,0.0587,-0.01,-0.170357751,600,499.23,17426.0571
UPP-A7,UPP-A7_3_control,C_119,3,Control,3,0.0587,-0.01,-0.170357751,600,283.38,17426.0571
UPP-A7,UPP-A7_3_control,C_119,3,Control,4,0.0587,-0.01,-0.170357751,114.79,313.9,17426.0571
UPP-A7,UPP-A7_3_control,C_119,3,Control,5,0.0587,-0.01,-0.170357751,82.75,385.84,17426.0571
UPP-B77,UPP-B77_1_control,C_43,1,Control,1,0.066,-0.011,-0.166666667,87.81,600,26895.95567
UPP-B77,UPP-B77_1_control,C_43,1,Control,2,0.066,-0.011,-0.166666667,119.83,491.97,26895.95567
UPP-B77,UPP-B77_1_control,C_43,1,Control,3,0.066,-0.011,-0.166666667,153.53,478.62,26895.95567
UPP-B77,UPP-B77_1_control,C_43,1,Control,4,0.066,-0.011,-0.166666667,583.78,199.25,26895.95567
UPP-B77,UPP-B77_1_control,C_43,1,Control,5,0.066,-0.011,-0.166666667,600,600,26895.95567
UPP-B77,UPP-B77_2,M_2_41,2,Mixed,1,0.0722,-0.012,-0.166204986,600,220.89,16923.64302
UPP-B77,UPP-B77_2,M_2_41,2,Mixed,2,0.0722,-0.012,-0.166204986,478.81,369.81,16923.64302
UPP-B77,UPP-B77_2,M_2_41,2,Mixed,3,0.0722,-0.012,-0.166204986,600,129.36,16923.64302
UPP-B77,UPP-B77_2,M_2_41,2,Mixed,4,0.0722,-0.012,-0.166204986,600,369.81,16923.64302
UPP-B77,UPP-B77_2,M_2_41,2,Mixed,5,0.0722,-0.012,-0.166204986,600,93.57,16923.64302
N10-C3,N10-C3_2,M_2_20,2,Mixed,1,0.0499,-0.008,-0.160320641,24.6,170.13,2748.5794
N10-C3,N10-C3_2,M_2_20,2,Mixed,2,0.0499,-0.008,-0.160320641,600,58.75,2748.5794
N10-C3,N10-C3_2,M_2_20,2,Mixed,3,0.0499,-0.008,-0.160320641,600,514.5,2748.5794
N10-C3,N10-C3_2,M_2_20,2,Mixed,4,0.0499,-0.008,-0.160320641,600,183.21,2748.5794
N10-C3,N10-C3_2,M_2_20,2,Mixed,5,0.0499,-0.008,-0.160320641,408.28,600,2748.5794
UPP-A10,UPP-A10_2,M_2_24,2,Mixed,1,0.0631,-0.01,-0.158478605,600,351.64,12336.53792
UPP-A10,UPP-A10_2,M_2_24,2,Mixed,2,0.0631,-0.01,-0.158478605,143.37,600,12336.53792
UPP-A10,UPP-A10_2,M_2_24,2,Mixed,3,0.0631,-0.01,-0.158478605,597.56,600,12336.53792
UPP-A10,UPP-A10_2,M_2_24,2,Mixed,4,0.0631,-0.01,-0.158478605,478.62,600,12336.53792
UPP-A10,UPP-A10_2,M_2_24,2,Mixed,5,0.0631,-0.01,-0.158478605,199.25,317.35,12336.53792
KAL-B3,KAL-B3_2,M_2_13,2,Mixed,1,0.0642,-0.01,-0.15576324,600,600,0
KAL-B3,KAL-B3_2,M_2_13,2,Mixed,2,0.0642,-0.01,-0.15576324,600,600,0
KAL-B3,KAL-B3_2,M_2_13,2,Mixed,3,0.0642,-0.01,-0.15576324,600,265.45,0
KAL-B3,KAL-B3_2,M_2_13,2,Mixed,4,0.0642,-0.01,-0.15576324,600,600,0
KAL-B3,KAL-B3_2,M_2_13,2,Mixed,5,0.0642,-0.01,-0.15576324,600,600,0
KAL-B3,KAL-B3_3_control,C_103,3,Control,1,0.0653,-0.01,-0.153139357,600,584.53,1305.50648
KAL-B3,KAL-B3_3_control,C_103,3,Control,2,0.0653,-0.01,-0.153139357,600,600,1305.50648
KAL-B3,KAL-B3_3_control,C_103,3,Control,3,0.0653,-0.01,-0.153139357,600,600,1305.50648
KAL-B3,KAL-B3_3_control,C_103,3,Control,4,0.0653,-0.01,-0.153139357,600,516.74,1305.50648
KAL-B3,KAL-B3_3_control,C_103,3,Control,5,0.0653,-0.01,-0.153139357,600,600,1305.50648
UPP-A7,UPP-A7_2,M_2_31,2,Mixed,1,0.0927,-0.014,-0.151024811,600,600,26617.90082
UPP-A7,UPP-A7_2,M_2_31,2,Mixed,2,0.0927,-0.014,-0.151024811,444.25,206.28,26617.90082
UPP-A7,UPP-A7_2,M_2_31,2,Mixed,3,0.0927,-0.014,-0.151024811,600,291.44,26617.90082
UPP-A7,UPP-A7_2,M_2_31,2,Mixed,4,0.0927,-0.014,-0.151024811,600,206.28,26617.90082
UPP-A7,UPP-A7_2,M_2_31,2,Mixed,5,0.0927,-0.014,-0.151024811,600,369.81,26617.90082
KAL-B3,KAL-B3_2,M_2_15,2,Mixed,1,0.0806,-0.012,-0.148883375,600,61.97,445.02707
KAL-B3,KAL-B3_2,M_2_15,2,Mixed,2,0.0806,-0.012,-0.148883375,600,93.57,445.02707
KAL-B3,KAL-B3_2,M_2_15,2,Mixed,3,0.0806,-0.012,-0.148883375,600,427.23,445.02707
KAL-B3,KAL-B3_2,M_2_15,2,Mixed,4,0.0806,-0.012,-0.148883375,600,93.57,445.02707
KAL-B3,KAL-B3_2,M_2_15,2,Mixed,5,0.0806,-0.012,-0.148883375,600,600,445.02707
KAL-AA1,KAL-AA1_2,M_2_7,2,Mixed,1,0.068,-0.009,-0.132352941,488.35,3.97,788.64878
KAL-AA1,KAL-AA1_2,M_2_7,2,Mixed,2,0.068,-0.009,-0.132352941,600,76.66,788.64878
KAL-AA1,KAL-AA1_2,M_2_7,2,Mixed,3,0.068,-0.009,-0.132352941,600,17.48,788.64878
KAL-AA1,KAL-AA1_2,M_2_7,2,Mixed,4,0.068,-0.009,-0.132352941,495.43,39.53,788.64878
KAL-AA1,KAL-AA1_2,M_2_7,2,Mixed,5,0.068,-0.009,-0.132352941,97.93,100.26,788.64878
UPP-A8,UPP-A8_3,M_3_35,3,Mixed,1,0.0712,-0.009,-0.126404494,112.4,137.59,1304.39847
UPP-A8,UPP-A8_3,M_3_35,3,Mixed,2,0.0712,-0.009,-0.126404494,107.78,100.26,1304.39847
UPP-A8,UPP-A8_3,M_3_35,3,Mixed,3,0.0712,-0.009,-0.126404494,89.81,119.25,1304.39847
UPP-A8,UPP-A8_3,M_3_35,3,Mixed,4,0.0712,-0.009,-0.126404494,0,194.26,1304.39847
UPP-A8,UPP-A8_3,M_3_35,3,Mixed,5,0.0712,-0.009,-0.126404494,0,119.25,1304.39847
UPP-A7,UPP-A7_3_control,C_120,3,Control,1,0.0642,-0.008,-0.124610592,163.65,135.66,14050.17553
UPP-A7,UPP-A7_3_control,C_120,3,Control,2,0.0642,-0.008,-0.124610592,600,109.93,14050.17553
UPP-A7,UPP-A7_3_control,C_120,3,Control,3,0.0642,-0.008,-0.124610592,257.48,198.45,14050.17553
UPP-A7,UPP-A7_3_control,C_120,3,Control,4,0.0642,-0.008,-0.124610592,600,411.28,14050.17553
UPP-A7,UPP-A7_3_control,C_120,3,Control,5,0.0642,-0.008,-0.124610592,393.03,223.31,14050.17553
N10-C3,N10-C3_2,M_2_21,2,Mixed,1,0.0653,-0.008,-0.122511485,600,600,48413.23418
N10-C3,N10-C3_2,M_2_21,2,Mixed,2,0.0653,-0.008,-0.122511485,600,247.21,48413.23418
N10-C3,N10-C3_2,M_2_21,2,Mixed,3,0.0653,-0.008,-0.122511485,600,348.88,48413.23418
N10-C3,N10-C3_2,M_2_21,2,Mixed,4,0.0653,-0.008,-0.122511485,289.06,252.72,48413.23418
N10-C3,N10-C3_2,M_2_21,2,Mixed,5,0.0653,-0.008,-0.122511485,249.75,600,48413.23418
UPP-B77,UPP-B77_1,M_1_41,1,Mixed,1,0.063,-0.007,-0.111111111,121.25,465.21,89512.84512
UPP-B77,UPP-B77_1,M_1_41,1,Mixed,2,0.063,-0.007,-0.111111111,257.56,124.72,89512.84512
UPP-B77,UPP-B77_1,M_1_41,1,Mixed,3,0.063,-0.007,-0.111111111,600,14.79,89512.84512
UPP-B77,UPP-B77_1,M_1_41,1,Mixed,4,0.063,-0.007,-0.111111111,119.62,24.56,89512.84512
UPP-B77,UPP-B77_1,M_1_41,1,Mixed,5,0.063,-0.007,-0.111111111,266.19,600,89512.84512
KAL-1,KAL-1_3,M_3_5,3,Mixed,1,0.1181,-0.013,-0.110076207,600,138.62,45695.944
KAL-1,KAL-1_3,M_3_5,3,Mixed,2,0.1181,-0.013,-0.110076207,600,116.78,45695.944
KAL-1,KAL-1_3,M_3_5,3,Mixed,3,0.1181,-0.013,-0.110076207,600,600,45695.944
KAL-1,KAL-1_3,M_3_5,3,Mixed,4,0.1181,-0.013,-0.110076207,138.62,298.59,45695.944
KAL-1,KAL-1_3,M_3_5,3,Mixed,5,0.1181,-0.013,-0.110076207,116.78,83.26,45695.944
KAL-1,KAL-1_1,M_1_5,1,Mixed,1,0.1279,-0.014,-0.109460516,600,600,38918.59235
KAL-1,KAL-1_1,M_1_5,1,Mixed,2,0.1279,-0.014,-0.109460516,600,369.63,38918.59235
KAL-1,KAL-1_1,M_1_5,1,Mixed,3,0.1279,-0.014,-0.109460516,600,600,38918.59235
KAL-1,KAL-1_1,M_1_5,1,Mixed,4,0.1279,-0.014,-0.109460516,600,214.03,38918.59235
KAL-1,KAL-1_1,M_1_5,1,Mixed,5,0.1279,-0.014,-0.109460516,600,199.44,38918.59235
KAL-B3,KAL-B3_1_control,C_18,1,Control,1,0.092,-0.01,-0.108695652,600,600,19144.14272
KAL-B3,KAL-B3_1_control,C_18,1,Control,2,0.092,-0.01,-0.108695652,600,600,19144.14272
KAL-B3,KAL-B3_1_control,C_18,1,Control,3,0.092,-0.01,-0.108695652,600,600,19144.14272
KAL-B3,KAL-B3_1_control,C_18,1,Control,4,0.092,-0.01,-0.108695652,600,416.06,19144.14272
KAL-B3,KAL-B3_1_control,C_18,1,Control,5,0.092,-0.01,-0.108695652,600,301.03,19144.14272
KAL-1,KAL-1_2_control,C_51,2,Control,1,0.0947,-0.01,-0.105596621,600,410.53,43978.55222
KAL-1,KAL-1_2_control,C_51,2,Control,2,0.0947,-0.01,-0.105596621,600,600,43978.55222
KAL-1,KAL-1_2_control,C_51,2,Control,3,0.0947,-0.01,-0.105596621,600,121.08,43978.55222
KAL-1,KAL-1_2_control,C_51,2,Control,4,0.0947,-0.01,-0.105596621,600,600,43978.55222
KAL-1,KAL-1_2_control,C_51,2,Control,5,0.0947,-0.01,-0.105596621,600,600,43978.55222
UPP-A7,UPP-A7_1_control,C_33,1,Control,1,0.065,-0.0065,-0.1,600,484.06,27970.78288
UPP-B77,UPP-B77_1_control,C_41,1,Control,1,0.152,-0.0152,-0.1,156.01,13.21,7930.62443
UPP-A7,UPP-A7_1_control,C_33,1,Control,2,0.065,-0.0065,-0.1,84.53,291.44,27970.78288
UPP-B77,UPP-B77_1_control,C_41,1,Control,2,0.152,-0.0152,-0.1,50.04,55.64,7930.62443
UPP-A7,UPP-A7_1_control,C_33,1,Control,3,0.065,-0.0065,-0.1,600,600,27970.78288
UPP-B77,UPP-B77_1_control,C_41,1,Control,3,0.152,-0.0152,-0.1,31.72,24.56,7930.62443
UPP-A7,UPP-A7_1_control,C_33,1,Control,4,0.065,-0.0065,-0.1,64.9,170.6,27970.78288
UPP-B77,UPP-B77_1_control,C_41,1,Control,4,0.152,-0.0152,-0.1,107.37,88.91,7930.62443
UPP-A7,UPP-A7_1_control,C_33,1,Control,5,0.065,-0.0065,-0.1,222.03,348.88,27970.78288
UPP-B77,UPP-B77_1_control,C_41,1,Control,5,0.152,-0.0152,-0.1,349,233.51,7930.62443
UPP-A10,UPP-A10_1,M_1_21,1,Mixed,1,0.1104,-0.011,-0.099637681,184.98,251.21,2385.19163
UPP-A10,UPP-A10_1,M_1_21,1,Mixed,2,0.1104,-0.011,-0.099637681,124.78,41.06,2385.19163
UPP-A10,UPP-A10_1,M_1_21,1,Mixed,3,0.1104,-0.011,-0.099637681,258.63,461.5,2385.19163
UPP-A10,UPP-A10_1,M_1_21,1,Mixed,4,0.1104,-0.011,-0.099637681,114.79,124.78,2385.19163
UPP-A10,UPP-A10_1,M_1_21,1,Mixed,5,0.1104,-0.011,-0.099637681,82.75,6.48,2385.19163
N10-C3,N10-C3_1,M_1_18,1,Mixed,1,0.0703,-0.007,-0.099573257,600,600,0
UPP-A8,UPP-A8_1,M_1_34,1,Mixed,1,0.0703,-0.007,-0.099573257,600,521.23,3103.05317
N10-C3,N10-C3_1,M_1_18,1,Mixed,2,0.0703,-0.007,-0.099573257,600,574.22,0
UPP-A8,UPP-A8_1,M_1_34,1,Mixed,2,0.0703,-0.007,-0.099573257,208.37,600,3103.05317
N10-C3,N10-C3_1,M_1_18,1,Mixed,3,0.0703,-0.007,-0.099573257,35.79,334,0
UPP-A8,UPP-A8_1,M_1_34,1,Mixed,3,0.0703,-0.007,-0.099573257,114.04,241.69,3103.05317
N10-C3,N10-C3_1,M_1_18,1,Mixed,4,0.0703,-0.007,-0.099573257,600,600,0
UPP-A8,UPP-A8_1,M_1_34,1,Mixed,4,0.0703,-0.007,-0.099573257,188.09,170.6,3103.05317
N10-C3,N10-C3_1,M_1_18,1,Mixed,5,0.0703,-0.007,-0.099573257,65.06,600,0
UPP-A8,UPP-A8_1,M_1_34,1,Mixed,5,0.0703,-0.007,-0.099573257,74.13,151.38,3103.05317
UPP-A8,UPP-A8_3_control,C_127,3,Control,1,0.1005,-0.01,-0.099502488,600,599.23,9274.82735
UPP-A8,UPP-A8_3_control,C_127,3,Control,2,0.1005,-0.01,-0.099502488,600,514.94,9274.82735
UPP-A8,UPP-A8_3_control,C_127,3,Control,3,0.1005,-0.01,-0.099502488,600,544.65,9274.82735
